"DocumentName"|"Venice Invoice No"|"AAX Customer ID"|"Bill document number"|"Service Country"|"Invoice Issue Date"|"Billing Period from"|"Billing Period to"|"Sales Partner ID"|"Payment Reference"|"Total Net"|"Total Gross"|"Currency"
"I21009334.pdf"|"BE21_209333"|"1012582"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|46,80|56,63|"EUR"
"I21009355.pdf"|"BE21_209354"|"1014065"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009357.pdf"|"BE21_209356"|"1014205"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009358.pdf"|"BE21_209357"|"1014244"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009367.pdf"|"BE21_209366"|"1014577"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009369.pdf"|"BE21_209368"|"1014818"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009370.pdf"|"BE21_209369"|"1014895"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|35,10|42,47|"EUR"
"I21009372.pdf"|"BE21_209371"|"1015061"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009373.pdf"|"BE21_209372"|"1015082"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009374.pdf"|"BE21_209373"|"1015115"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|35,10|42,47|"EUR"
"I21009377.pdf"|"BE21_209376"|"1015366"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009379.pdf"|"BE21_209378"|"1015469"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|128,70|155,73|"EUR"
"I21009380.pdf"|"BE21_209379"|"1015492"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009381.pdf"|"BE21_209380"|"1015501"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|163,80|198,20|"EUR"
"I21009385.pdf"|"BE21_209384"|"1015642"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009386.pdf"|"BE21_209385"|"1015651"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|81,90|99,10|"EUR"
"I21009390.pdf"|"BE21_209389"|"1015882"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009397.pdf"|"BE21_209396"|"1016053"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009398.pdf"|"BE21_209397"|"1016104"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009401.pdf"|"BE21_209400"|"1016319"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009402.pdf"|"BE21_209401"|"1016332"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009407.pdf"|"BE21_209406"|"1016475"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009412.pdf"|"BE21_209411"|"1016580"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009415.pdf"|"BE21_209414"|"1016734"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009419.pdf"|"BE21_209418"|"1016828"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009422.pdf"|"BE21_209421"|"1017062"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009428.pdf"|"BE21_209427"|"1017228"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009432.pdf"|"BE21_209431"|"1017421"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|70,20|84,94|"EUR"
"I21009433.pdf"|"BE21_209432"|"1017429"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009435.pdf"|"BE21_209434"|"1017553"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009437.pdf"|"BE21_209436"|"1017708"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|81,90|99,10|"EUR"
"I21009440.pdf"|"BE21_209439"|"1017877"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|14,64|17,71|"EUR"
"I21009443.pdf"|"BE21_209442"|"1017998"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009445.pdf"|"BE21_209444"|"1018112"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|11,70|14,16|"EUR"
"I21009448.pdf"|"BE21_209447"|"1018374"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|23,40|28,31|"EUR"
"I21009457.pdf"|"BE21_209456"|"1018664"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|35,10|42,47|"EUR"
"I21009459.pdf"|"BE21_209458"|"1018699"|"313396086"|"BE"|"04/11/2021"|"16/10/2021"|"31/10/2021"|"2000002127"|"313396086BE"|46,80|56,63|"EUR"
